Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00655614851901618,0.00875209372774839,0.0803256198422797,0,0,0,1.16671926811488,0.00213484598247089,-8.75744225275896E-05,-0.000155366712798131,0.00208356403275134,-0.000207389969339676,0.00226811292179453,0,0,0,0,0,0,package://ur5/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur5/meshes/base_link.STL,,J1-1/31301-1,base_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0324626986746649,-0.210005755781888,0.0695751843092656,0,0,0,4.16135879753895,0.0204686280854395,-0.00226101141342534,-2.27971752067915E-07,0.00619136903373067,3.6019428463953E-08,0.0209533591147774,0,0,0,0,0,0,package://ur5/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur5/meshes/link1.STL,,J2-1/31301-1;J2-1/31305-1;J2-1/31301-2,link1_coor,Axis_base_link1_joint,base_link1_joint,continuous,0.035975,0.048019,0.09,-1.5708,0,-0.64298,base_link,0,1,0,,,,,,,,,,,,
link2,0.0128068945094935,-0.16391308464046,-0.0390998457035408,0,0,0,2.36828624234339,0.0113847165275977,0.000733653017228413,9.29831076805585E-06,0.0020576184962093,-0.000121379725605494,0.0115535615130683,0,0,0,0,0,0,package://ur5/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur5/meshes/link2.STL,,J3-1/31106-1;J3-1/31001-1;J3-1/31101-1,link2_coor,Axis_link1_link2_joint,link1_link2_joint,prismatic,-0.064925,-0.42001,-0.0002,0,0,0,link1,0.79821,-0.60237,0,0,0,0,0,,,,,,,,
link3,0.00542007039340814,-0.00405767564838833,0.0454357577900437,0,0,0,0.347990711183164,0.000295635200777506,2.11927713912218E-06,-2.6933219031375E-05,0.000296423400882969,2.05909100860307E-05,0.00026679122886515,0,0,0,0,0,0,package://ur5/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur5/meshes/link3.STL,,J4-1/31101-1,link3_coor,Axis_link2_link3_joint,link2_link3_joint,prismatic,0.030564,-0.39106,-0.0032,0,0,0,link2,0.79821,-0.60237,0,0,0,0,0,,,,,,,,
link4,0.00288235100536494,-0.00612651636981953,0.0454358002589424,0,0,0,0.347990611235843,0.000297575229378339,1.51683792820799E-06,-1.41230082862842E-05,0.000294496865398565,3.08269064222405E-05,0.000266786877334862,0,0,0,0,0,0,package://ur5/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur5/meshes/link4.STL,,J5-1/31101-1,link4_coor,,link3_link4_joint,fixed,0.033166,-0.025029,0.05337,1.5708,-0.8936,0.92433,link3,0,0,0,,,,,,,,,,,,
link5,-0.000168217553727423,6.75220060876169E-05,0.0149779081621214,0,0,0,0.130146415437089,5.55768465586905E-05,-2.41312247332349E-07,9.79934312393585E-08,5.50725274119075E-05,-3.93342600140777E-08,9.01432526904566E-05,0,0,0,0,0,0,package://ur5/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur5/meshes/link5.STL,,J6-1/31008-1,link5_coor,,link4_link5_joint,fixed,0.020549,-0.044119,0.05337,1.5708,-0.74157,0.43588,link4,0,0,0,,,,,,,,,,,,
