Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-2.68085969102883E-05,-2.68490569042133E-05,0.00657485896604853,0,0,0,6.90431055394965,0.342049261322973,1.73952647086577E-05,4.05448444917824E-06,0.342049287178794,4.05090320691229E-06,0.683737765249358,0,0,0,0,0,0,package://trial1/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/base.STL,,Base-1/31320-1;Base-1/33303-1;Base-1/31362-1;Base-1/33316-1,base_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0164284556092243,-0.000580480774403006,0.0989577550019846,0,0,0,1.5730277002075,0.00253805894381151,2.50286851530999E-06,-0.000319120643900212,0.00262063353559378,1.12670901237443E-05,0.00282982908052778,0,0,0,0,0,0,package://trial1/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/link1.STL,,J1-1/31301-1;J1-1/33303-1;J1-1/31362-1;J1-1/33316-1;J1-1/34311-1,base_coor,base_link1_axis,base_link1_joint,revolute,0,0,0,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
link2,0.00064961588106708,0.211074426913968,0.0696536698345357,0,0,0,4.55599144930169,0.0212208789761176,-4.57385432707134E-05,1.95186768654613E-07,0.00625333760663146,-6.02167966872858E-05,0.0215719063470076,0,0,0,0,0,0,package://trial1/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/link2.STL,,J2-1/31301-1;J2-1/31305-1;J2-1/31301-2;J2-1/34311-1;J2-1/33303-1;J3-1/31362-1,link2_coor,link1_link2_axis,link1_link2_joint,revolute,0.059962,-0.0021419,0.1,1.5708,0,1.5351,link1,0,0,-1,0,0,0,0,,,,,,,,
link3,0.00172255792159225,0.187234537081283,-0.0400934283698093,0,0,0,2.65269860766085,0.0115660901567238,-8.60781185798698E-05,1.30659038805706E-06,0.00215352509024136,0.000112847577564552,0.0117161258456947,0,0,0,0,0,0,package://trial1/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/link3.STL,,J3-1/31106-1;J3-1/31001-1;J3-1/31101-1;J4-1/33116-1;J4-1/33103-1;J4-1/31132-1;J3-1/34111-1;J3-1/31105-1;J3-1/33115-1,link3_coor,link2_link3_axis,link2_link3_joint,revolute,0.0013122,0.425,-0.0002,0,0,0,link2,0,0,1,0,0,0,0,,,,,,,,
link4,1.18942742642579E-05,0.00245539608874901,0.0492786687995241,0,0,0,0.54082979619466,0.000386998370046679,5.36221728034207E-08,-8.31005185676672E-07,0.000420470655039188,-4.27760985455535E-05,0.00035837688663571,0,0,0,0,0,0,package://trial1/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/link4.STL,,J4-1/31101-1;J4-1/34111-1;J5-1/33116-2;J5-1/33103-1;J5-1/31132-1,link4_coor,link3_link4_axis,link3_link4_joint,revolute,0.003603,0.39223,-0.0032,0,0,0,link3,0,0,1,0,0,0,0,,,,,,,,
link5,-0.000938396742247175,1.11149720530418E-05,0.0489429194980937,0,0,0,0.499794641826929,0.000399428865845185,3.78766041869351E-07,-4.27842569653169E-05,0.000362224591581625,2.97990482369728E-07,0.000333590010855856,0,0,0,0,0,0,package://trial1/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/link5.STL,,J5-1/31101-1;J5-1/34111-1;J6-1/33116-1;J6-1/33103-1,link5_coor,link4_link5_axis,link4_link5_joint,revolute,0.00041521,0.041548,0.05337,-1.5708,-1.5351,-0.0099931,link4,0,0,-1,0,0,0,0,,,,,,,,
link6,-5.40549559664982E-05,-0.00017301568914363,0.0149779081623501,0,0,0,0.130146415437083,5.50377428562704E-05,1.9869352778531E-07,3.14891667920488E-08,5.56116311143236E-05,1.00788535797681E-07,9.01432526904547E-05,0,0,0,0,0,0,package://trial1/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://trial1/meshes/link6.STL,,J6-1/31008-1,link6_coor,link5_link6_axis,link5_link6_joint,revolute,0.04867,0.00012719,0.05337,-1.5708,-0.13567,-1.5682,link5,0,0,-1,0,0,0,0,,,,,,,,
